Latitude,Longitude
2806.6092N,8243.0269W
2806.6094N,8243.027W
2806.6094N,8243.0271W
2806.6094N,8243.0271W
2806.6094N,8243.0272W
2806.608N,8243.025W
2806.6066N,8243.0229W
2806.6056N,8243.0214W
2806.6047N,8243.02W
2806.604N,8243.019W
2806.6034N,8243.0181W
2806.6029N,8243.0175W
2806.6025N,8243.017W
2806.602N,8243.0165W
2806.6017N,8243.0161W
2806.6013N,8243.0157W
2806.6009N,8243.0152W
2806.6006N,8243.0148W
2806.5999N,8243.0139W
2806.5994N,8243.0132W
2806.5991N,8243.0126W
2806.5986N,8243.0119W
2806.5982N,8243.0113W
2806.5978N,8243.0108W
2806.5975N,8243.0103W
2806.5971N,8243.0098W
2806.5969N,8243.0094W
2806.5966N,8243.0091W
2806.5964N,8243.0089W
2806.5962N,8243.0087W
2806.596N,8243.0085W
2806.5958N,8243.0083W
2806.5957N,8243.0082W
2806.5955N,8243.0081W
2806.5953N,8243.0079W
2806.5952N,8243.0078W
2806.595N,8243.0077W
2806.5948N,8243.0076W
2806.5946N,8243.0075W
2806.5944N,8243.0074W
2806.5942N,8243.0073W
2806.5939N,8243.0072W
2806.5937N,8243.0071W
2806.5935N,8243.007W
2806.5932N,8243.0069W
2806.5931N,8243.0068W
2806.5928N,8243.0067W
2806.5926N,8243.0066W
2806.5924N,8243.0065W
2806.5922N,8243.0065W
2806.5921N,8243.0064W
2806.5921N,8243.0064W
2806.592N,8243.0063W
2806.5919N,8243.0063W
2806.5918N,8243.0063W
2806.5916N,8243.0063W
2806.5915N,8243.0063W
2806.5913N,8243.0063W
2806.5912N,8243.0063W
2806.591N,8243.0063W
2806.5907N,8243.0062W
2806.5905N,8243.0062W
2806.5903N,8243.0062W
2806.5901N,8243.0061W
2806.59N,8243.006W
2806.5898N,8243.0059W
2806.5896N,8243.0059W
2806.5895N,8243.0058W
2806.5893N,8243.0058W
2806.5891N,8243.0057W
2806.5889N,8243.0056W
2806.5887N,8243.0055W
2806.5886N,8243.0055W
2806.5885N,8243.0054W
2806.5884N,8243.0053W
2806.5883N,8243.0052W
2806.5885N,8243.0049W
2806.5886N,8243.0045W
2806.5888N,8243.0042W
2806.5889N,8243.004W
2806.589N,8243.0037W
2806.5891N,8243.0035W
2806.5892N,8243.0032W
2806.5894N,8243.0029W
2806.5895N,8243.0027W
2806.5896N,8243.0024W
2806.5898N,8243.0022W
2806.5899N,8243.002W
2806.5901N,8243.0017W
2806.5903N,8243.0013W
2806.5905N,8243.001W
2806.5908N,8243.0007W
2806.5909N,8243.0005W
2806.5911N,8243.0004W
2806.5913N,8243.0003W
2806.5914N,8243.0002W
2806.5916N,8243.0001W
2806.5924N,8243.0003W
2806.5925N,8242.9996W
2806.5928N,8242.999W
2806.5937N,8242.9995W
2806.5944N,8242.9999W
2806.5949N,8243.0001W
2806.5946N,8242.9997W
2806.5944N,8242.9993W
2806.5942N,8242.999W
2806.594N,8242.9988W
2806.594N,8242.9986W
2806.5939N,8242.9983W
2806.594N,8242.9981W
2806.594N,8242.998W
2806.594N,8242.9978W
2806.5941N,8242.9977W
2806.5941N,8242.9974W
2806.5942N,8242.9973W
2806.5942N,8242.9971W
2806.5942N,8242.9969W
2806.5942N,8242.9967W
2806.5942N,8242.9964W
2806.5941N,8242.9961W
2806.594N,8242.9958W
2806.5939N,8242.9955W
2806.5939N,8242.9952W
2806.5938N,8242.995W
2806.5938N,8242.9948W
2806.5938N,8242.9946W
2806.5938N,8242.9944W
2806.5938N,8242.9943W
2806.5939N,8242.9942W
2806.5942N,8242.9939W
2806.5946N,8242.9938W
2806.5947N,8242.9937W
2806.5948N,8242.9936W
2806.5948N,8242.9935W
2806.5949N,8242.9934W
2806.595N,8242.9934W
2806.5951N,8242.9934W
2806.5952N,8242.9934W
2806.5952N,8242.9935W
2806.5954N,8242.9934W
2806.5955N,8242.9934W
2806.5959N,8242.9937W
2806.5965N,8242.9942W
2806.597N,8242.9946W
2806.5972N,8242.9948W
2806.5978N,8242.9953W
2806.5983N,8242.9957W
2806.5988N,8242.996W
2806.5993N,8242.9964W
2806.5995N,8242.9964W
2806.5997N,8242.9965W
2806.5999N,8242.9966W
2806.6001N,8242.9966W
2806.6003N,8242.9966W
2806.6004N,8242.9966W
2806.6006N,8242.9966W
2806.6007N,8242.9965W
2806.6009N,8242.9965W
2806.6011N,8242.9965W
2806.6012N,8242.9965W
