Time,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
29700,15876,-1784,-1372,-441,-698,-554,-6657,-1025,-9729
29800,15960,-1716,-1216,-297,-44,-877,-5633,-1537,-9729
29900,16008,-1512,-1476,-331,-160,-623,-7681,-1025,-10241
30000,16000,-1912,-1324,-181,142,-387,-7169,-1025,-8705
30100,16148,-1656,-1500,-231,247,-411,-8449,-1793,-8961
30200,16000,-1452,-1748,136,56,-41,-6145,-2049,-9729
30300,16076,-1336,-1536,183,-82,-186,-6145,-513,-10753
30400,15848,-1320,-1472,-132,151,-80,-6657,-1537,-10753
30500,16008,-1700,-1556,-25,-157,-497,-6913,-1281,-11009
30600,15824,-1544,-1748,844,-469,-115,-8193,-513,-9729
30700,15952,-1344,-2132,-215,547,-886,-6657,-2049,-10753
30800,15996,-1472,-1620,-71,863,-1427,-7681,-1025,-9729
30900,15992,-1092,-1692,83,74,-453,-7937,-769,-10497
31000,16116,-972,-1664,20,403,-593,-7425,-1793,-9473
31100,15992,-1188,-1568,-206,468,-670,-7425,-1793,-9473
31200,16084,-1236,-1544,18,320,-228,-7425,-257,-9473
31300,16428,-1516,-1600,166,147,-823,-6913,-769,-9985
31400,15956,-852,-1692,251,504,-666,-6913,-1793,-9985
31500,16324,-944,-1464,-79,606,-39,-8705,-1025,-10753
31600,16084,-1168,-1620,-401,686,-143,-7169,-513,-10241
31700,15904,-1092,-1648,34,-97,-670,-7937,-1793,-10497
31800,16024,-948,-1812,-222,244,-231,-7681,-1537,-10753
31900,16048,-892,-1928,-115,176,59,-7425,-257,-9985
32000,15948,-1028,-2036,108,196,117,-6657,-1025,-10241
32100,15964,-852,-1740,-61,466,-116,-8193,-1025,-8705
32200,15852,-1032,-1556,-64,218,-350,-8449,-1281,-10497
32300,16268,-1120,-1408,145,181,-376,-6913,-257,-9985
32400,16080,-1160,-1396,-81,280,-260,-6657,-1537,-9729
32500,16224,-1164,-1516,-167,388,-482,-7681,-1537,-9729
32600,16072,-1052,-1476,-20,211,-343,-8193,-1025,-8705
32700,16368,-1264,-1468,-451,205,-411,-7937,-769,-9985
32800,16036,-1140,-1684,-329,738,-287,-7169,-1537,-9729
32900,16036,-880,-1368,-429,374,-236,-6913,-3329,-10497
33000,16156,-1268,-1460,-362,437,-275,-8961,-1281,-9985
33100,16024,-1032,-1416,-243,186,-258,-7169,-1025,-10753
33200,16140,-1100,-1340,-345,302,-296,-6657,-1537,-10241
33300,16156,-1120,-1348,-71,297,-119,-8449,-1793,-8449
33400,15796,-800,-1168,-172,409,-235,-8193,-1025,-10753
33500,16188,-1212,-1140,-66,688,-168,-8705,-2049,-9217
33600,15756,-776,-1248,218,241,-81,-7937,-1281,-8961
33700,16024,-1124,-1276,125,52,-129,-8449,-2817,-10497
33800,15924,-976,-1284,-74,327,-308,-7937,-1281,-10497
33900,16256,-1132,-1152,-170,536,-262,-8449,-1793,-9473
34000,15928,-1204,-1268,-183,654,-257,-8705,-1025,-9729
34100,16204,-1324,-1048,-263,229,-319,-8193,-2049,-8705
34200,15920,-1376,-1516,224,22,-235,-7937,-769,-9473
34300,16236,-1268,-1220,120,-57,-414,-9217,-2561,-10753
34400,16288,-1368,-1248,48,102,-157,-8449,-1281,-8449
34500,15696,-1236,-1056,360,-78,90,-8961,-1793,-9473
34600,16016,-1152,-1236,-96,157,-57,-7937,-1281,-8449
34700,16008,-1352,-1296,-28,184,-330,-8961,-1793,-9473
34800,15988,-1296,-968,42,324,-333,-8449,-1793,-8961
34900,16304,-1228,-1448,-225,212,-523,-8193,-1025,-9729
35000,16000,-1196,-1276,-7,493,-290,-7425,-2305,-9985
35100,16116,-1172,-1256,-122,289,-294,-8705,-2049,-9217
35200,16188,-1008,-1224,52,278,-217,-7169,-1537,-9729
35300,16048,-1208,-1376,63,307,-344,-7681,-2561,-9729
35400,16120,-1024,-1220,-59,352,-256,-8449,-769,-8449
35500,15924,-1124,-1180,-30,346,-181,-8705,-2561,-9217
35600,16096,-1120,-1240,-72,119,-328,-8961,-2305,-8449
35700,15892,-1096,-896,-275,302,-368,-7681,-2561,-8705
35800,15960,-1028,-1424,-167,559,-240,-7937,-1281,-9473
35900,16020,-1240,-1104,-78,216,-360,-7937,-1281,-9985
36000,16052,-1200,-1188,35,299,-182,-7425,-1793,-11521
36100,15972,-960,-1232,-136,232,-416,-8705,-1,-8705
36200,16176,-1172,-1108,-106,251,-385,-6913,-2305,-9473
36300,16092,-1060,-1132,-239,495,-225,-7681,-1025,-10241
36400,16096,-1132,-1076,-267,277,-249,-7937,-1793,-8961
36500,16088,-1048,-868,-19,303,-281,-7937,-1281,-9985
36600,15888,-1248,-516,591,188,-82,-7425,-2817,-8961
36700,16104,-1108,-984,-1,218,-420,-8449,-1281,-7937
36800,15984,-1000,-972,-83,190,-194,-7681,-1537,-10753
36900,16204,-1212,-1096,-326,434,-367,-9217,-3073,-9217
37000,15968,-1148,-1236,-216,305,-219,-8705,-2561,-8705
37100,16100,-936,-828,27,63,-241,-8193,-1537,-8705
37200,16080,-1012,-796,-4,441,-164,-7681,-2561,-7681
37300,15916,-1076,-836,-118,404,-237,-8449,-1793,-8961
37400,16180,-1112,-872,-18,521,-253,-7937,-257,-7937
37500,16224,-984,-820,13,333,-267,-8705,-2561,-9729
37600,16164,-972,-1084,-68,349,-223,-7425,-1793,-7937
37700,16080,-996,-1012,-11,254,-212,-9985,-1281,-9985
37800,15960,-1224,-1092,-99,343,-292,-8449,-769,-9473
37900,16240,-1168,-932,-31,222,-241,-7937,-2305,-10497
38000,16028,-1028,-660,-262,192,-404,-8193,-2561,-9217
38100,16080,-1012,-1164,161,241,-234,-9217,-2049,-8705
38200,16008,-1224,-1196,-12,53,-391,-7681,-2049,-8705
38300,16300,-1216,-1012,-61,297,-211,-7937,-2305,-9985
38400,16176,-1104,-1176,-174,411,-214,-8193,-1537,-9729
38500,16076,-808,-1112,123,37,-285,-8193,-3073,-9729
38600,16080,-828,-1032,36,417,-260,-9729,-2049,-8705
38700,16036,-1124,-988,54,166,-258,-7681,-2561,-9729
38800,15964,-836,-736,-191,257,-350,-8961,-2305,-8961
38900,16104,-1016,-812,-33,752,-296,-9729,-2049,-7681
39000,16100,-1052,-740,-35,538,-269,-9473,-2817,-8961
39100,16224,-812,-1128,-94,283,-285,-8705,-2561,-9217
39200,15840,-932,-1084,-164,257,-205,-8705,-2561,-8705
39300,15760,-952,-1080,-116,380,41,-8961,-1281,-8961
39400,15856,-908,-1188,225,-472,703,-6913,-1281,-9473
39500,15784,-1152,-1172,146,791,-190,-8193,-2561,-9729
39600,16212,-1276,-760,-236,1118,-409,-7681,-2049,-9217
39700,16360,-1100,-492,-639,1650,-248,-9217,-1537,-8705
39800,16020,-736,-216,-711,2027,-21,-7937,-3329,-7425
39900,16132,-808,184,-686,2177,111,-8193,-5633,-7681
40000,16188,-1088,-64,-1979,3404,-1184,-8193,-5633,-6145
40100,14796,-1344,-472,-748,2212,-382,-8705,-5633,-6145
40200,17504,-1960,-56,-248,675,229,-8705,-7169,-5121
40300,15228,-1796,-776,557,-264,-16,-8449,-6913,-4865
40400,15508,-2280,-384,1044,134,-506,-7169,-5633,-5633
40500,15520,-1904,-904,1341,-1831,-1227,-7169,-6657,-7169
40600,19300,-2504,-532,-189,-2644,-1251,-5889,-5377,-7425
40700,18612,-1640,828,-1939,-709,-994,-6657,-4609,-7169
40800,14344,396,1444,1167,656,-168,-6913,-5377,-7425
40900,15216,-336,1508,1743,3015,106,-5889,-5889,-6913
41000,14528,608,540,1126,1017,-1975,-5889,-7425,-6401
41100,14904,344,504,-1016,2716,-532,-5889,-8449,-6401
41200,15212,364,296,-960,380,-665,-5633,-8193,-5633
41300,17128,-356,-576,-2505,-219,465,-5377,-9473,-5377
41400,20380,-1632,248,-1737,-1271,488,-4609,-7169,-6657
41500,16828,-2200,2772,-2549,95,-751,-4865,-7425,-7937
41600,13276,-1588,2036,-2433,1220,-881,-5889,-6913,-5889
41700,13936,-532,1040,-1969,2339,-1457,-7169,-7169,-6657
41800,15112,-1464,584,-1755,1343,-932,-8193,-7169,-5121
41900,14916,-1752,1164,32,-395,-588,-6913,-7937,-5889
